0,1
#邊荷律 秀可愛口音日文！ #峮峮 當場笑翻 #Shorts,https://www.youtube.com/shorts/jgjtbytfvcg
#笑翻 ,https://www.youtube.com/shorts/opjGEk0M5Hc
「韓籍三本柱」首合體 秀中文笑翻全場@videolandnews,https://www.youtube.com/shorts/TIF1vxjdILg
憲哥综艺笑翻了,https://www.youtube.com/shorts/4fSxFojrv60
我媽聽了這笑話都笑翻了！| 笑一笑，每天都開心 發給需要笑容的好友吧  #每日笑話,https://www.youtube.com/shorts/b07r9FN_Eq0
非誠勿擾最搞笑的一段！當時整個電影院笑翻了，葛優真行！,https://www.youtube.com/watch?v=WEVvgriisYc&amp;pp=ygUG56yR57-7
超完美破音 我期待 看完保證笑翻~,https://www.youtube.com/watch?v=baccF-PPURI&amp;pp=ygUG56yR57-7
吳宗憲解釋何謂「佛跳牆」，侯佩岑笑翻了！,https://www.youtube.com/watch?v=SPW7yOqqaPU&amp;pp=ygUG56yR57-7
老年大學罰站的結局笑翻了！｜老年大学罚站的结局笑翻了！｜Hilarious Punishment at Senior College!,https://www.youtube.com/shorts/aacaBpphPSo
【搞笑模仿】各國撞到的反應 網笑翻：沒叫你超越！｜搞笑｜模仿｜文化差異,https://www.youtube.com/shorts/tiSPtF5XvAU
中國最強科技，笑翻全世界This is China @chinastime  #china,https://www.youtube.com/shorts/LbgJRZMSWeE
辦公室關門像嗩吶聲  網笑翻「把不適任同事直接超渡嗎？」,https://www.youtube.com/shorts/NvF7BcQEetg
華仔幽默風趣笑翻全場Andy Lau's Wit and Humor Have the Entire Audience in Stitches#劉德華  #andylau#華仔 #舒淇,https://www.youtube.com/shorts/aio90vHGS0A
被美人魚綁架 警察局笑翻,https://www.youtube.com/watch?v=RZqB9wyvuZA&amp;pp=ygUG56yR57-7
邊荷律秀可愛口音日文　峮峮當場笑翻！,https://www.youtube.com/watch?v=FbtWZedvZ9o&amp;pp=ygUG56yR57-7
沈玉琳 5分鐘演講笑翻全場【超爆笑】,https://www.youtube.com/watch?v=y2grnoarBLc&amp;pp=ygUG56yR57-7
笑翻！兒子舉報私房錢　換來「復仇者爸爸」逆襲｜三立新聞網SETN.com,https://www.youtube.com/watch?v=jGnCQT5_ulI&amp;pp=ygUG56yR57-7
1996年#張菲 裝聽懂讓#松田聖子 笑翻#王牌威龍#檢場@cts_arch #Shorts,https://www.youtube.com/shorts/L4fGZIR6UoA
